City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Porto Santo,PT,2022-02-01 20:28:30,33.072,-16.3415,64.31,82,20,21.85,few clouds
1,Kaitangata,NZ,2022-02-01 20:28:31,-46.2817,169.8464,61.41,91,100,3.65,overcast clouds
2,Vigrestad,NO,2022-02-01 20:28:31,58.5667,5.7,44.28,80,32,30.94,scattered clouds
3,Bluff,NZ,2022-02-01 20:27:32,-46.6,168.3333,70.81,74,100,13.04,overcast clouds
4,Naze,JP,2022-02-01 20:25:47,28.3667,129.4833,55.63,71,100,10.74,overcast clouds
5,Burnie,AU,2022-02-01 20:28:32,-41.0667,145.9167,52.95,71,7,9.66,clear sky
6,Tuktoyaktuk,CA,2022-02-01 20:28:32,69.4541,-133.0374,-23.8,76,20,5.75,few clouds
7,Puerto Ayora,EC,2022-02-01 20:28:33,-0.7393,-90.3518,82.36,91,81,4.0,broken clouds
8,Vaini,TO,2022-02-01 20:28:33,-21.2,-175.2,82.56,78,75,4.61,broken clouds
9,Hobart,AU,2022-02-01 20:25:35,-42.8794,147.3294,52.11,60,20,17.27,few clouds
10,Katsuura,JP,2022-02-01 20:28:34,35.1333,140.3,39.31,44,58,12.01,broken clouds
11,Castro,BR,2022-02-01 20:28:34,-24.7911,-50.0119,78.55,60,4,4.79,clear sky
12,Fairbanks,US,2022-02-01 20:25:02,64.8378,-147.7164,-10.01,74,0,0.0,clear sky
13,Yellowknife,CA,2022-02-01 20:28:35,62.456,-114.3525,-19.71,69,0,11.5,clear sky
14,Bredasdorp,ZA,2022-02-01 20:28:35,-34.5322,20.0403,75.6,76,3,3.06,clear sky
15,Bambous Virieux,MU,2022-02-01 20:28:36,-20.3428,57.7575,79.05,94,75,19.57,light intensity shower rain
16,Babu,CN,2022-02-01 20:28:36,24.4167,111.5167,43.75,94,100,5.68,overcast clouds
17,Sitka,US,2022-02-01 20:28:36,57.0531,-135.33,33.69,75,75,5.75,broken clouds
18,Phrae,TH,2022-02-01 20:28:37,18.0833,100.0,62.67,64,85,1.03,overcast clouds
19,Port Lincoln,AU,2022-02-01 20:25:40,-34.7333,135.8667,60.66,56,52,17.87,broken clouds
20,Itabera,BR,2022-02-01 20:28:38,-23.8619,-49.1372,78.37,71,92,1.99,overcast clouds
21,Avarua,CK,2022-02-01 20:26:01,-21.2078,-159.775,82.45,78,75,11.5,broken clouds
22,Atuona,PF,2022-02-01 20:28:38,-9.8,-139.0333,78.57,73,24,22.53,few clouds
23,Tasiilaq,GL,2022-02-01 20:28:39,65.6145,-37.6368,10.56,70,100,5.82,overcast clouds
