City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,0,Porto Santo,PT,2022-02-01 20:28:30,33.072,-16.3415,64.31,82,20,21.85,few clouds
1,1,Kaitangata,NZ,2022-02-01 20:28:31,-46.2817,169.8464,61.41,91,100,3.65,overcast clouds
3,3,Bluff,NZ,2022-02-01 20:27:32,-46.6,168.3333,70.81,74,100,13.04,overcast clouds
4,4,Naze,JP,2022-02-01 20:25:47,28.3667,129.4833,55.63,71,100,10.74,overcast clouds
14,14,Bredasdorp,ZA,2022-02-01 20:28:35,-34.5322,20.0403,75.6,76,3,3.06,clear sky
18,18,Phrae,TH,2022-02-01 20:28:37,18.0833,100.0,62.67,64,85,1.03,overcast clouds
19,19,Port Lincoln,AU,2022-02-01 20:25:40,-34.7333,135.8667,60.66,56,52,17.87,broken clouds
25,25,Kensington,AU,2022-02-01 20:28:40,-33.9167,151.2167,72.72,93,75,18.41,light rain
26,26,San Jose,US,2022-02-01 20:24:11,37.3394,-121.895,60.91,30,0,10.0,clear sky
30,30,Mataura,NZ,2022-02-01 20:28:41,-46.1927,168.8643,70.48,66,100,5.5,overcast clouds
32,32,Taoudenni,ML,2022-02-01 20:28:42,22.6783,-3.9836,74.53,17,3,10.6,clear sky
34,34,Kabompo,ZM,2022-02-01 20:28:43,-13.5927,24.2008,64.87,93,100,1.54,overcast clouds
36,36,Cape Town,ZA,2022-02-01 20:26:45,-33.9258,18.4232,69.1,82,20,1.01,few clouds
38,38,Saldanha,ZA,2022-02-01 20:28:44,-33.0117,17.9442,66.25,97,21,9.13,few clouds
48,48,Dromolaxia,CY,2022-02-01 20:29:48,34.8761,33.586,57.65,77,40,2.3,scattered clouds
53,53,Hermanus,ZA,2022-02-01 20:27:09,-34.4187,19.2345,70.9,84,26,1.05,scattered clouds
59,59,Tahta,EG,2022-02-01 20:29:52,26.7693,31.5021,57.31,44,0,1.95,clear sky
63,63,Ahipara,NZ,2022-02-01 20:29:54,-35.1667,173.1667,70.48,83,100,15.64,overcast clouds
65,65,Barcelona,ES,2022-02-01 20:27:31,41.3888,2.159,57.33,54,0,5.01,clear sky
