City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2022-01-29 15:29:28,-8.9266,125.4092,60.84,85,100,3.29
1,San Cristobal,VE,2022-01-29 15:29:29,7.7669,-72.225,73.58,39,6,4.41
2,Rikitea,PF,2022-01-29 15:29:29,-23.1203,-134.9692,77.07,76,85,11.95
3,Saint-Philippe,RE,2022-01-29 15:28:48,-21.3585,55.7679,81.99,85,59,8.59
4,Naze,JP,2022-01-29 15:28:49,28.3667,129.4833,55.4,85,100,11.56
5,Pasighat,IN,2022-01-29 15:26:04,28.0667,95.3333,53.87,64,9,4.7
6,Aksarka,RU,2022-01-29 15:29:30,66.5606,67.7975,-1.1,95,100,7.05
7,Punta Arenas,CL,2022-01-29 15:25:36,-53.15,-70.9167,59.02,62,75,19.57
8,Firminy,FR,2022-01-29 15:29:31,45.3873,4.2907,36.14,86,100,2.3
9,Tiksi,RU,2022-01-29 15:29:27,71.6872,128.8694,-8.63,100,51,3.91
10,Busselton,AU,2022-01-29 15:29:31,-33.65,115.3333,72.09,86,0,16.06
11,Danville,US,2022-01-29 15:25:10,36.586,-79.395,29.57,60,0,18.41
12,Vanimo,PG,2022-01-29 15:29:32,-2.6741,141.3028,77.09,90,100,6.67
13,Guarapari,BR,2022-01-29 15:29:32,-20.6667,-40.4975,89.49,56,100,16.78
14,Nhulunbuy,AU,2022-01-29 15:29:33,-12.2333,136.7667,79.41,89,100,13.8
15,Plettenberg Bay,ZA,2022-01-29 15:29:33,-34.0527,23.3716,69.91,69,0,11.61
16,Bluff,NZ,2022-01-29 15:29:34,-46.6,168.3333,61.81,78,100,8.7
17,Namwala,ZM,2022-01-29 15:29:34,-15.7504,26.4384,76.59,67,84,4.36
18,Nantucket,US,2022-01-29 15:29:35,41.2835,-70.0995,33.91,97,100,54.29
19,Vila Franca Do Campo,PT,2022-01-29 15:29:35,37.7167,-25.4333,63.19,65,15,10.0
20,Road Town,VG,2022-01-29 15:29:35,18.4167,-64.6167,82.44,61,20,5.75
21,Mataura,NZ,2022-01-29 15:29:36,-46.1927,168.8643,61.48,76,100,2.8
22,Ushuaia,AR,2022-01-29 15:25:02,-54.8,-68.3,58.66,67,40,3.44
23,Platanos,GR,2022-01-29 15:29:36,37.6667,21.6167,47.08,91,100,7.67
24,Atuona,PF,2022-01-29 15:28:11,-9.8,-139.0333,76.73,76,0,12.21
25,San Isidro,PE,2022-01-29 15:29:37,-12.1167,-77.05,77.02,70,0,6.91
26,Bilibino,RU,2022-01-29 15:29:37,68.0546,166.4372,-4.61,89,100,2.95
27,Mar Del Plata,AR,2022-01-29 15:29:22,-38.0023,-57.5575,78.82,51,0,11.99
28,Kruisfontein,ZA,2022-01-29 15:29:38,-34.0033,24.7314,77.88,54,0,15.43
29,Albany,US,2022-01-29 15:24:52,42.6001,-73.9662,11.84,81,100,3.0
30,Margate,GB,2022-01-29 15:29:39,51.3813,1.3862,57.06,69,69,10.0
31,Ostrovnoy,RU,2022-01-29 15:29:39,68.0531,39.5131,11.3,92,89,15.55
32,Severo-Yeniseyskiy,RU,2022-01-29 15:29:40,60.3725,93.0408,2.8,95,100,4.81
33,Khatanga,RU,2022-01-29 15:29:40,71.9667,102.5,-2.88,98,100,5.5
34,Upernavik,GL,2022-01-29 15:29:41,72.7868,-56.1549,7.99,88,100,20.42
35,Sao Felix Do Xingu,BR,2022-01-29 15:29:41,-6.6447,-51.995,75.76,90,100,4.0
36,Zhigansk,RU,2022-01-29 15:29:42,66.7697,123.3711,-21.6,100,96,6.49
37,Zhuhai,CN,2022-01-29 15:28:34,22.2769,113.5678,63.99,72,40,12.66
38,Namibe,AO,2022-01-29 15:29:42,-15.1961,12.1522,75.52,68,92,12.28
39,Castro,BR,2022-01-29 15:29:43,-24.7911,-50.0119,60.44,99,100,4.97
40,Touros,BR,2022-01-29 15:29:43,-5.1989,-35.4608,85.1,86,100,4.94
41,Pevek,RU,2022-01-29 15:29:44,69.7008,170.3133,-11.18,98,100,3.31
42,Darhan,MN,2022-01-29 15:29:44,49.4867,105.9228,-14.01,99,8,2.89
43,Waddan,LY,2022-01-29 15:30:44,29.1614,16.139,57.45,18,18,12.5
44,Saint George,US,2022-01-29 15:30:45,37.1041,-113.5841,50.47,46,0,0.0
45,Souillac,MU,2022-01-29 15:30:45,-20.5167,57.5167,82.78,78,40,9.22
46,Avarua,CK,2022-01-29 15:29:18,-21.2078,-159.775,75.25,94,45,3.44
47,Zarinsk,RU,2022-01-29 15:30:46,53.7074,84.9493,-8.72,100,39,2.73
48,Binabalian,PH,2022-01-29 15:30:46,16.4202,119.9279,80.35,77,44,6.58
49,Lata,PT,2022-01-29 15:30:47,40.1629,-8.3327,69.49,30,0,5.82
